1305;DA PORTARE 82;5;T
1305;DA PORTARE 82;7;T
1305;DA PORTARE 82;6;S
1305;DA PORTARE 82;9;S
1305;DA PORTARE 82;8;S
1305;DA PORTARE 82;8;T
1305;DA PORTARE 82;1;M
1305;DA PORTARE 82;2;M
1305;DA PORTARE 82;10;M
1318;DINNER UNICENTRO;;
1320;ILLY UNICENTRO;3;T
1320;ILLY UNICENTRO;2;M
1320;ILLY UNICENTRO;1;M
1325;ILLY 87;1;M
1325;ILLY 87;2;M
1329;KOI;;
1330;LUNA;;
1330;LUNA;;
1331;WATAKUSHI;;
1332;DINNER SANTAFE;;
1345;PRAVDA-PIAZA;1;
1345;PRAVDA-PIAZA;2;
1350;MICHELLE 93;;
1355;SUSHI ILLY UNICENTRO;;
1360;KAVA TERROIR;;
1365;Michelle 82;;
1380;Daportare 65;;
1385;Watakushi 93;;
1395;DAPO COLINA;;
1398;MICHELLE COLINA;;
1399;HAMAKOM UNICENTRO;;
1805;POMERIGGIO CAFETERIA;;
1810;AMARTI;;
1820;716;1;M
1820;716;2;M
1855;LA MAR;;
1865;CHALACA 93;;
1870;CHALACA 109;;
1885;DAPORTARE USAQUEN;7;T
1885;DAPORTARE USAQUEN;8;T
1885;DAPORTARE USAQUEN;9;T
1885;DAPORTARE USAQUEN;10;S
1885;DAPORTARE USAQUEN;1;M
1885;DAPORTARE USAQUEN;2;M
1890;Michelle 82;;
1891;BARRA UNICENTRO;;
1892;ILGIARDINO UNICENTRO;;
3805;D.F CALLE 97;;
3815;D.F CALLE 100;;
3830;D.F UNICENTRO;;
3840;D.F DORADO;;
1335;Michelle uni;;
